Kingdom, PhyName, ClaName, OrdName, FamName, GenName, Spcname, SpcInfraepithet, Spcrecid, SpcStatus
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, fulvescens, NULL, 223, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, naccarii, NULL, 224, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, oxyrinchus, NULL, 226, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, ruthenus, NULL, 227, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, brevirostrum, NULL, 222, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, stellatus, NULL, 229, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, sturio, NULL, 230, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, nudiventris, NULL, 225, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, gueldenstaedtii, NULL, 232, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, medirostris, NULL, 233, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, schrenckii, NULL, 228, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, persicus, NULL, 235, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, sinensis, NULL, 236, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, dabryanus, NULL, 231, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, mikadoi, NULL, 241, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, baerii, NULL, 244, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, transmontanus, NULL, 234, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Chaetocercus, astreans, NULL, 156, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Chaetocercus, berlepschi, NULL, 157, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Chaetocercus, bombus, NULL, 158, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, poliocephalus, NULL, 122, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Chaetocercus, heliodor, NULL, 159, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Chaetocercus, mulsanti, NULL, 160, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, rhodogaster, NULL, 125, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, novaehollandiae, NULL, 120, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, ovampensis, NULL, 121, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, soloensis, NULL, 128, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, poliogaster, NULL, 123, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, princeps, NULL, 124, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, tachiro, NULL, 131, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, rufitorques, NULL, 126, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, rufiventris, NULL, 127, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, trivirgatus, NULL, 134, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, striatus, NULL, 129, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, superciliosus, NULL, 130, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, badius, NULL, 89, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, toussenelii, NULL, 132, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, trinotatus, NULL, 133, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, brevipes, NULL, 92, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, virgatus, NULL, 136, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, albogularis, NULL, 88, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, cirrocephalus, NULL, 96, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, bicolor, NULL, 90, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, brachyurus, NULL, 91, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, erythrauchen, NULL, 99, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, butleri, NULL, 93, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, castanilius, NULL, 94, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, francesii, NULL, 103, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, collaris, NULL, 97, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, cooperii, NULL, 98, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, gularis, NULL, 106, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, erythropus, NULL, 101, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, fasciatus, NULL, 102, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, henicogrammus, NULL, 109, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, gentilis, NULL, 104, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, griseiceps, NULL, 105, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, luteoschistaceus, NULL, 112, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, gundlachi, NULL, 107, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, haplochrous, NULL, 108, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, melanoleucus, NULL, 115, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, henstii, NULL, 110, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, imitator, NULL, 111, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, nanus, NULL, 118, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, madagascariensis, NULL, 113, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, melanochlamys, NULL, 114, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, nisus, NULL, 119, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, meyerianus, NULL, 116, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Accipiter, minullus, NULL, 117, A
