Event,Symbol,For display,Text
No 338/97,#1,#1 No 338/97,"Designates all parts and derivatives, except:
(a) seeds, spores and pollen (including pollinia);
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers."
No 338/97,#2,#2 No 338/97,"Designates all parts and derivations, except:
(a) seeds and pollen;
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile
containers, and
(c) chemical derivations."
No 338/97,#3,#3 No 338/97,Designates roots and readily recognizable parts thereof.
No 338/97,#4,#4 No 338/97,"Designates all parts and derivatives, except:
(a) seeds and pollen;
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile
containers;
(c) fruits and parts and derivatives thereof of naturalised or artificially propagated plants; and
(e) separate stem joints (pads) and parts and derivatives therefore of naturalised or artifically
propagated plants of the genus Opuntia subgenus Opuntia."
No 338/97,#5,#5 No 338/97,"Designates saw-logs, sawn wood and veneers."
No 338/97,#6,#6 No 338/97,"Designates logs, wood-chips and unprocessed broken material"
No 338/97,#7,#7 No 338/97,"Designates all parts and derivatives, except:
(a) seeds and pollen (including pollinia);
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants; and
(d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
No 338/97,#8,#8 No 338/97,"Designates all parts and derivatives, except:
(a) seeds and pollen;
(b) seedling or tissue cultures obtained in vitro; in solid or liquid media, transported in sterile containers; and
(c) finished pharmaceutical products."
No 938/97,#1,#1 No 938/97,"Any whole or substantially whole skins, raw or tanned."
No 938/97,#2,#2 No 938/97,Any feathers or any skin or other part with feathers on it.
No 938/97,#3,#3 No 938/97,"Dried and fresh plants, including; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
No 2307/97,#1,#1 No 2307/97,"Designates all parts and derivatives, except:
(a) seeds, spores and pollen (including pollinia);
(b) seedling or tissue cultures obtained in vitro, 10 solid or liquid media, transported in sterile containers, and
(c) cut flowers of artificially propagated plants."
No 2307/97,#2,#2 No 2307/97,"Designates all parts and derivations, except:
(a) seeds and pollen;
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants; and
(d) chemical derivations."
No 2307/97,#3,#3 No 2307/97,"Designates whole and sliced roots and parts of roots, excluding manufactured parts or derivatives
such as powders, pills, extracts, tonics, teas and confectionery."
No 2307/97,#4,#4 No 2307/97,"Designates all parts and derivatives, except:
(a) seeds, except those from Mexican cacti originating in Mexico, and pollen;
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants;
(d) fruits and parts and derivatives thereof of naturalised or artificially propagated plants; and
(e) separate stem joints (pads) and parts and derivatives therefore of naturalised or artifically propagated plants of the genus Opuntia subgenus Opuntia."
No 2307/97,#5,#5 No 2307/97,"Designates logs, sawn wood and veneer sheets."
No 2307/97,#6,#6 No 2307/97,"Designates logs, wood-chips and unprocessed broken material."
No 2307/97,#7,#7 No 2307/97,"Designates all parts and derivatives, except:
(a) seeds and pollen (including pollinia);
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants; and
(d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
No 2307/97,#8,#8 No 2307/97,"Designates all parts and derivatives, except:
(a) seeds and pollen;
(b) seedling or tissue cultures obtained in vitro; in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants; and
(d) finished pharmaceutical products."
No 2724/2000,#1,#1 No 2724/2000,"designates all parts and derivatives, except:
(a) seeds, spores and pollen (including pollinia);
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers,
and
(c) cut flowers of artificially propagated plants."
No 2724/2000,#2,#2 No 2724/2000,"designates all parts and derivations, except:
(a) seeds and pollen;
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants; and
(d) chemical derivatives and finished pharmaceutical products."
No 2724/2000,#3,#3 No 2724/2000,"Designates whole and sliced roots and parts of roots, excluding manufactured parts or derivatives such as
powders, pills, extracts, tonics, teas and confectionery."
No 2724/2000,#4,#4 No 2724/2000,"Designates all parts and derivatives, except:
(a) seeds, except those from Mexican cacti originating in Mexico, and pollen;
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants;
(d) fruits and parts and derivatives thereof of naturalised or artificially propagated plants; and
(e) separate stem joints (pads) and parts and derivatives therefore of naturalised or artifically propagated plants of the genus Opuntia subgenus Opuntia."
No 2724/2000,#5,#5 No 2724/2000,"Designates logs, sawn wood and veneer sheets."
No 2724/2000,#6,#6 No 2724/2000,"Designates logs, wood-chips and unprocessed broken material."
No 2724/2000,#7,#7 No 2724/2000,"Designates all parts and derivatives, except:
(a) seeds and pollen (including pollinia);
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants; and
(d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
No 1497/2003,#1,#1 No 1497/2003,"Designates all parts and derivatives, except:
(a) seeds, spores and pollen (including pollinia);
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers, and
(c) cut flowers of artificially propagated plants."
No 1497/2003,#2,#2 No 1497/2003,"Designates all parts and derivations, except:
(a) seeds and pollen;
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants; and
(d) chemical derivatives and finished pharmaceutical products."
No 1497/2003,#3,#3 No 1497/2003,"Designates whole and sliced roots and parts of roots, excluding manufactured parts or derivatives such as
powders, pills, extracts, tonics, teas and confectionery."
No 1497/2003,#4,#4 No 1497/2003,"Designates all parts and derivatives, except:
(a) seeds, except those from Mexican cacti originating in Mexico, and pollen;
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants;
(d) fruits and parts and derivatives thereof of naturalised or artificially propagated plants; and
(e) separate stem joints (pads) and parts and derivatives therefore of naturalised or artifically propagated plants of the genus Opuntia subgenus Opuntia."
