SpcRecID,CtyRecID,CtyShort,
20731,268,"Montenegro"
4322,13,"Australia"
16847,192,"Solomon Islands"
20636,164,"Papua New Guinea"
6428,164,"Papua New Guinea"
6430,164,"Papua New Guinea"
6431,164,"Papua New Guinea"
15331,13,"Australia"
3626,13,"Australia"
9046,126,"Madagascar"
9047,126,"Madagascar"
13342,126,"Madagascar"
3519,144,"Mozambique"
3519,194,"South Africa"
3519,238,"Zimbabwe"
4766,194,"South Africa"
7994,146,"Namibia"
7994,194,"South Africa"
16742,110,"Kenya"
19706,144,"Mozambique"
19707,127,"Malawi"
19708,110,"Kenya"
18713,192,"Solomon Islands"
18715,13,"Australia"
18715,164,"Papua New Guinea"
18721,13,"Australia"
18721,164,"Papua New Guinea"
18722,205,"Taiwan, Province of China"
18725,18,"Bangladesh"
18725,44,"China"
18725,129,"Maldives"
18725,148,"Nepal"
18725,161,"Pakistan"
18725,197,"Sri Lanka"
18727,100,"Indonesia"
18729,36,"Cambodia"
18729,100,"Indonesia"
18729,129,"Maldives"
18729,145,"Myanmar"
18729,164,"Papua New Guinea"
18729,167,"Philippines"
18729,192,"Solomon Islands"
18729,208,"Thailand"
18729,229,"Viet Nam"
18734,36,"Cambodia"
18734,208,"Thailand"
18734,229,"Viet Nam"
18735,164,"Papua New Guinea"
18737,88,"Guam"
18740,45,"Christmas Island"
18742,164,"Papua New Guinea"
18749,162,"Palau"
18753,167,"Philippines"
18757,4,"American Samoa"
18757,71,"Fiji"
18757,182,"Samoa"
18758,13,"Australia"
18758,152,"New Zealand"
18758,164,"Papua New Guinea"
18759,48,"Comoros"
18759,187,"Seychelles"
18760,167,"Philippines"
18761,135,"Mauritius"
18761,176,"Réunion"
18763,88,"Guam"
18764,4,"American Samoa"
18764,50,"Cook Islands"
18764,71,"Fiji"
18764,151,"New Caledonia"
18764,156,"Niue"
18764,164,"Papua New Guinea"
18764,182,"Samoa"
18764,211,"Tonga"
18764,226,"Vanuatu"
18766,32,"Brunei Darussalam"
18766,100,"Indonesia"
