quota_type,start_date,end_date,taxon_name,taxon_concept_id,rank,iso_code2,quota,unit,term,source,purpose,applies_to_import,notes,internal notes
CoP_approved,09/06/1997,Present,Capra falconeri,3780,SPECIES,PK,12,All,TRO,All,H; P,,hunting trophies  Conf. 10.15 (Rev. CoP14),
CoP_approved,09/06/1997,Present,Panthera pardus,8619,SPECIES,ET,500,All,SKI; TRO,All,H; P,,Resolution Conf. 10.14 (Rev. CoP16),
CoP_approved,10/06/1997,Present,Panthera pardus,8619,SPECIES,NA,250,All,SKI; TRO,All,H; P,,Resolution Conf. 10.14 (Rev. CoP16),
CoP_approved,11/06/1997,Present,Panthera pardus,8619,SPECIES,TZ,500,All,SKI; TRO,All,H; P,,Resolution Conf. 10.14 (Rev. CoP16),
CoP_approved,12/06/1997,Present,Panthera pardus,8619,SPECIES,ZM,300,All,SKI; TRO,All,H; P,,Resolution Conf. 10.14 (Rev. CoP16),
CoP_approved,13/06/1997,Present,Panthera pardus,8619,SPECIES,ZW,500,All,SKI; TRO,All,H; P,,Resolution Conf. 10.14 (Rev. CoP16),
CoP_approved,14/06/1997,Present,Panthera pardus,8619,SPECIES,BW,130,All,SKI; TRO,All,H; P,,Resolution Conf. 10.14 (Rev. CoP16),
CoP_approved,15/06/1997,Present,Panthera pardus,8619,SPECIES,CF,40,All,SKI; TRO,All,H; P,,Resolution Conf. 10.14 (Rev. CoP16),
CoP_approved,16/06/1997,Present,Panthera pardus,8619,SPECIES,KE,80,All,SKI; TRO,All,H; P,,Resolution Conf. 10.14 (Rev. CoP16),
CoP_approved,17/06/1997,Present,Panthera pardus,8619,SPECIES,MW,50,All,SKI; TRO,All,H; P,,Resolution Conf. 10.14 (Rev. CoP16),
CoP_approved,18/06/1997,Present,Panthera pardus,8619,SPECIES,MZ,120,All,SKI; TRO,All,H; P,,Resolution Conf. 10.14 (Rev. CoP16),
CoP_approved,19/06/1997,Present,Panthera pardus,8619,SPECIES,ZA,150,All,SKI; TRO,All,H; P,,Resolution Conf. 10.14 (Rev. CoP16),
CoP_approved,20/06/1997,Present,Panthera pardus,8619,SPECIES,UG,28,All,SKI; TRO,All,H; P,,Resolution Conf. 10.14 (Rev. CoP16),
CoP_approved,14/10/2004,Present,Diceros bicornis,6656,SPECIES,NA,5,All,TRO; SKI; SKU; HOR; BOD; FOO; GEN,All,H; P,,"hunting trophies from adult males [Note: see Resolution Conf. 13.5(Rev.CoP14)]
Res. Conf. 13.5(Rev.CoP14): ""AGREES that hunting trophies of the black rhinoceros are defined as the horns or any other durable part of the body, mounted or loose and that all parts to be exported should be individually marked with reference to the country of origin, species, quota number and year of export;""",hunting trophies from adult males (Resolution Conf. 13.5(Rev.CoP18))
CoP_approved,14/10/2004,25/11/2019,Diceros bicornis,6656,SPECIES,ZA,5,All,TRO; SKI; SKU; HOR; BOD; FOO; GEN,All,H; P,,hunting trophies from adult males [Note: see Resolution Conf. 13.5(Rev.CoP14)],
CoP_approved, 01/07/1975,Present,Acinonyx jubatus,8935,SPECIES,BW,5,All,LIV; TRO,All,All,,live and trophies,
CoP_approved, 01/07/1975,Present,Acinonyx jubatus,8935,SPECIES,NA,150,All,SKI; LIV; TRO,All,All,,trophies (skins) and live specimens (Note: see annotation to this species included in Appendix I),
CoP_approved, 01/07/1975,Present,Acinonyx jubatus,8935,SPECIES,ZW,50,All,LIV; TRO,All,All,,live and trophies (Note: see annotation to this species included in Appendix I),
Listing_annotations,02/01/2017,Present,Panthera leo,6353,SPECIES,All,0,All,BON; BOP; BPR; CLA; SKE; SKU; TEE,W,T,,"**II** [FAMILY listing Felidae spp.] For Panthera leo (African populations): a zero annual export quota is established for specimens of bones, bone pieces, bone products, claws, skeletons, skulls and teeth removed from the wild and traded for commercial purposes. Annual export quotas for trade in bones, bone pieces, bone products, claws, skeletons, skulls and teeth for commercial purposes, derived from captive breeding operations in South Africa, will be established and communicated annually to the CITES Secretariat.",
Listing_annotations, 13/02/2003,Present,Tursiops truncatus,7086,SPECIES,BG,0,All,LIV,W,T,,"**II** [ORDER listing Cetacea spp.] Included in Appendix II, except for the species included in Appendix I. A zero annual export quota has been established for live specimens from the Black Sea population of Tursiops truncatus removed from the wild and traded for primarily commercial purposes.",
Listing_annotations, 13/02/2003,Present,Tursiops truncatus,7086,SPECIES,GE,0,All,LIV,W,T,,"**II** [ORDER listing Cetacea spp.] Included in Appendix II, except for the species included in Appendix I. A zero annual export quota has been established for live specimens from the Black Sea population of Tursiops truncatus removed from the wild and traded for primarily commercial purposes.",
Listing_annotations, 13/02/2003,Present,Tursiops truncatus,7086,SPECIES,RO,0,All,LIV,W,T,,"**II** [ORDER listing Cetacea spp.] Included in Appendix II, except for the species included in Appendix I. A zero annual export quota has been established for live specimens from the Black Sea population of Tursiops truncatus removed from the wild and traded for primarily commercial purposes.",
Listing_annotations, 13/02/2003,Present,Tursiops truncatus,7086,SPECIES,RU,0,All,LIV,W,T,,"**II** [ORDER listing Cetacea spp.] Included in Appendix II, except for the species included in Appendix I. A zero annual export quota has been established for live specimens from the Black Sea population of Tursiops truncatus removed from the wild and traded for primarily commercial purposes.",
Listing_annotations, 13/02/2003,Present,Tursiops truncatus,7086,SPECIES,TR,0,All,LIV,W,T,,"**II** [ORDER listing Cetacea spp.] Included in Appendix II, except for the species included in Appendix I. A zero annual export quota has been established for live specimens from the Black Sea population of Tursiops truncatus removed from the wild and traded for primarily commercial purposes.",
Listing_annotations, 13/02/2003,Present,Tursiops truncatus,7086,SPECIES,UA,0,All,LIV,W,T,,"**II** [ORDER listing Cetacea spp.] Included in Appendix II, except for the species included in Appendix I. A zero annual export quota has been established for live specimens from the Black Sea population of Tursiops truncatus removed from the wild and traded for primarily commercial purposes.",
Listing_annotations,18/09/1997,Present,Chaetophractus nationi,5522,SPECIES,All,0,All,All,All,All,,**II** Included in Appendix II. A zero annual export quota has been established. All specimens shall be deemed to be specimens of species included in Appendix I and the trade in them shall be regulated accordingly.,
Listing_annotations,16/02/1995,Present,Melanosuchus niger,10978,SPECIES,EC,0,All,All,All,All,,"**I** Included in Appendix I, except for the population of Brazil, which is included in Appendix II, and the population of Ecuador, which is included in Appendix II and is subject to a zero annual export quota until an annual export quota has been approved by the CITES Secretariat and the IUCN/SSC Crocodile Specialist Group.
**II** Population of Brazil and the population of Ecuador, which is included in Appendix II and is subject to a zero annual export quota until an annual export quota has been approved by the CITES Secretariat and the IUCN/SSC Crocodile Specialist Group.",
