IsCurrent,Kingdom,Rank,RecID,ISO code,StartNotificationID,EndNotificationID,Notes,ExcludedTaxa
1,,,,IN,6,,"Exports of wild-taken specimens for commercial purposes, with the exception of cultivated varieties of plant species included in Appendices I and II.",
1,Animalia,SPECIES,5992,BR,7,,All trade without consulting the Brazilian Management Authority.,
1,,,,IL,8,,"The import of potentially invasive animals, wildlife for circus activities, and poisonous animals or plants except under rare circumstances; and the export of native wildlife (exceptions may be made inter alia for scientific or educational purposes).",
1,Animalia,ORDER,124,IL,8,,The import and export of primates as pets.,
1,,,,MR,9,,All commercial trade in specimens of CITES-listed species.,
1,,,,SO,9,,All commercial trade in specimens of CITES-listed species.,
1,,,,AF,10,,The export of CITES-listed species for commercial purposes.,
1,Animalia,CLASS,5,AR,11,,"The export of all live specimens of native species of birds (with the exception of: species subject to management plans and export quotas [namely: <i>Amazona aestiva, Aratinga acuticaudata, Aratinga mitrata, Myiopsitta monachus, Nandayus nenday, and Pionus maximiliani</i>]; specimens bred in captivity in registered operations; species considered as pests or harmful under current legislation; pets; specimens for zoological, cultural or educational exhibitions). Specimens of such species may be exported after the Argentine Management Authority has verified on a case-by-case basis that the export is in conformity with current national legislation and issued a CITES permit.","SPECIES:1041,SPECIES:1992,SPECIES:2005,SPECIES:14080,SPECIES:14319,SPECIES:17301"
1,Animalia,SPECIES,3454,AR,11,,"The export of live specimens, as well as of parts and derivatives (except for specimens from ranching operations).",
1,Animalia,SPECIES,3455,AR,11,,"The export of live specimens, as well as of parts and derivatives (except for specimens from ranching operations).",
1,Animalia,SPECIES,4015,AR,11,,"The export of live specimens, as well as of parts and derivatives.",
1,Animalia,SPECIES,4248,AR,11,,"The export of live specimens, as well as of parts and derivatives.",
1,Animalia,SPECIES,5219,AR,11,,"The export of live specimens, as well as of parts and derivatives.",
1,Animalia,SPECIES,15309,AR,11,,"The export of live specimens, as well as of parts and derivatives.",
1,Animalia,SPECIES,15310,AR,11,,"The export of live specimens, as well as of parts and derivatives.",
1,Animalia,SPECIES,15311,AR,11,,"The export of live specimens, as well as of parts and derivatives.",
1,Animalia,SPECIES,15452,AR,11,,"The export of live specimens, as well as of parts and derivatives.",
1,Animalia,SPECIES,11509,AR,11,,"The export of live specimens, as well as of parts and derivatives.",
1,Animalia,SPECIES,11510,AR,11,,"The export of live specimens, as well as of parts and derivatives.",
1,Animalia,SPECIES,11511,AR,11,,"The export of live specimens, as well as of parts and derivatives.",
1,Animalia,CLASS,17,AR,11,,"The export of all live specimens of native species of mammals (with the exception of: species subject to management plans and export quotas; specimens bred in captivity in registered operations; species considered as pests or harmful under current legislation; pets; specimens for zoological, cultural or educational exhibitions). Specimens of such species may be exported after the Argentine Management Authority has verified on a case-by-case basis that the export is in conformity with current national legislation and issued a CITES permit.",
1,Animalia,SPECIES,15953,AR,11,,"The export of live specimens, as well as of parts and derivatives.",
1,Animalia,SPECIES,16457,AR,11,,"The export of live specimens, as well as of parts and derivatives (except for trophies).",
1,Animalia,SPECIES,18868,AR,11,,"The export of live specimens, as well as of parts and derivatives (except for trophies).",
1,Animalia,SPECIES,9948,AR,11,,"The export of live specimens, as well as of parts and derivatives.",
1,Animalia,CLASS,23,AR,11,,"The export of all live specimens of native species of reptiles (with the exception of: species subject to management plans and export quotas; specimens bred in captivity in registered operations; species considered as pests or harmful under current legislation; pets; specimens for zoological, cultural or educational exhibitions). Specimens of such species may be exported after the Argentine Management Authority has verified on a case-by-case basis that the export is in conformity with current national legislation and issued a CITES permit.",
1,Animalia,SPECIES,20468,AR,11,,"The export of live specimens, as well as of parts and derivatives.",
1,Animalia,SPECIES,21552,AR,11,,"The export of live specimens, as well as of parts and derivatives.",
1,,,,SO,12,,All commercial trade in specimens of CITES-listed species.,
1,Animalia,SPECIES,5664,MG,13,,All imports.,
1,Animalia,KINGDOM,1,PH,14,,"The export of wild-caught specimens of terrestrial fauna for commercial purposes, and captive-bred specimens of terrestrial fauna except those from breeders authorized and registered by the Department of Environment and Natural Resources (DENR).",
1,,,,PH,14,,The export of CITES-listed aquatic species (an exemption may be granted for limited quantities if collection has been authorized by the prior issuance of a special permit and the export is for scientific purposes).,
1,,,,PY,15,,"Commercial trade in Appendix II species, with the exception of stocks of legally acquired reptile skins collected in 2001, 2002 and 2003, and essential oil and timber of Bulnesia sarmientoi.",
1,,,,DJ,16,,All commercial trade in specimens of CITES-listed species.,
