Species RecID,Rank,GEO_entity_type,ISO Code 2,Tags,Designation
75,Species,Country,BO,distribution uncertain,EU
76,Species,Country,PY,distribution uncertain,EU
119,Species,Country,NE,distribution uncertain,"CITES,EU"
225,Species,Country,GE,distribution uncertain,"CITES,EU"
225,Species,Country,TM,distribution uncertain,"CITES,EU"
228,Species,Country,JP,distribution uncertain,"CITES,EU"
229,Species,Country,GR,distribution uncertain,"CITES,EU"
229,Species,Country,IT,distribution uncertain,"CITES,EU"
230,Species,Country,CH,distribution uncertain,"CITES,EU"
241,Species,Country,CN,distribution uncertain,"CITES,EU"
244,Species,Country,KZ,distribution uncertain,"CITES,EU"
327,Species,Country,MY,distribution uncertain,"CITES,EU"
330,Species,Country,VN,distribution uncertain,"CITES,EU"
337,Species,Country,MZ,distribution uncertain,"CITES,EU"
360,Species,Country,JP,distribution uncertain,"CITES,EU"
360,Species,Country,PG,distribution uncertain,"CITES,EU"
391,Species,Territory,PN,distribution uncertain,"CITES,EU"
394,Species,Country,MU,distribution uncertain,"CITES,EU"
409,Species,Territory,CC,distribution uncertain,"CITES,EU"
440,Species,Country,MZ,distribution uncertain,"CITES,EU"
458,Species,Country,AE,distribution uncertain,"CITES,EU"
544,Species,Country,LA,distribution uncertain,"CITES,EU"
681,Species,Country,GN,distribution uncertain,"CITES,EU"
699,Species,Country,EC,distribution uncertain,"CITES,EU"
714,Species,Country,LA,distribution uncertain,"CITES,EU"
865,Species,Country,AO,distribution uncertain,"CITES,EU"
901,Species,Country,CY,distribution uncertain,"CITES,EU"
910,Species,Country,UY,distribution uncertain,"CITES,EU"
971,Species,Territory,PF,distribution uncertain,"CITES,EU"
1025,Species,Country,PY,distribution uncertain,"CITES,EU"
1027,Species,Country,EC,distribution uncertain,"CITES,EU"
1034,Species,Country,GY,distribution uncertain,"CITES,EU"
1038,Species,Country,BZ,distribution uncertain,"CITES,EU"
1051,Species,Country,BR,distribution uncertain,"CITES,EU"
1062,Species,Country,UY,distribution uncertain,"CITES,EU"
