rank,rec_id,listing,effective_from,is_current,populations_iso2,EXCLUDEDpopulations_iso,is_inclusion,included_in_RecID,RankforInclusions,excluded_rec_ids,LegNotes,CMS instrument,Internal Notes
Family,149,II,01/01/1979,1,,,,,,,,CMS,
Species,219,I,05/03/2009,1,,"BW, NA,ZW ",,,,,"Except the populations of Botswana, Namibia and Zimbabwe ",CMS,
Species,223,II,01/11/1983,1,,,,,,,,CMS,
Species,224,II,14/02/2000,1,,,,,,,,CMS,
Species,225,II,14/02/2000,1,,,,,,,,CMS,
Species,227,II,14/02/2000,1,,,,,,,Danube population.,CMS,
Species,228,II,14/02/2000,1,,,,,,,,CMS,
Species,229,II,14/02/2000,1,,,,,,,,CMS,
Species,230,I,23/02/2006,1,,,,,,,,CMS,
Species,230,II,14/02/2000,1,,,,,,,,CMS,
Species,232,II,14/02/2000,1,,,,,,,,CMS,
Species,233,II,14/02/2000,1,,,,,,,,CMS,
Species,235,II,14/02/2000,1,,,,,,,,CMS,
Species,236,II,14/02/2000,1,,,,,,,,CMS,
Subspecies,239,II,14/02/2000,1,,,,,,,,CMS,
Species,241,II,14/02/2000,1,,,,,,,,CMS,
Species,294,I,15/07/1997,1,,,,,,,,CMS,
Species,294,II,01/01/1979,1,,,,,,,Listed under migratory Muscicapidae (<i>sensu lato</i> ) spp.,CMS,
Species,294,Aquatic warbler,01/01/2003,1,,,,,,,,Aquatic warbler,
Species,299,I,05/03/2009,1,,,,,,,,CMS,
Species,301,I,23/02/2006,1,,,,,,,,CMS,
Species,301,II,01/01/1979,1,,,,,,,Listed under migratory Muscicapidae (<i>sensu lato</i> ) spp.,CMS,
Species,512,I,01/01/1979,1,,,,,,,,CMS,
Family,713,II,24/01/1986,1,,,,,,,Only European populations,CMS,
Species,835,II,23/02/2006,1,,,,,,,,CMS,
Species,835,I,14/02/2000,1,,,,,,,,CMS,
Species,835,Grassland birds,01/01/2007,1,,,,,,,,Grassland birds,
Species,836,II,23/02/2006,1,,,,,,,,CMS,
Species,836,I,23/12/2002,1,,,,,,,,CMS,
Species,836,Grassland birds,01/01/2007,1,,,,,,,,Grassland birds,
Family,851,II,24/01/1986,1,,,,,,,All migratory Vespertilionidae spp. (only European populations). ,CMS,
Species,1064,II,15/07/1997,1,,,,,,,,CMS,
Species,1151,II,05/03/2009,1,,,,,,,,CMS,
Species,1228,I,23/12/2002,1,,,,,,,,CMS,
Species,1575,I,15/07/1997,1,,,,,,,,CMS,
Species,1575,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,1577,I,23/12/2002,1,,,,,,,,CMS,
Genus,1944,II,01/01/1979,1,,,,,,,All migratory <i>Grus</i> spp.,CMS,
Species,1951,I,15/07/1997,1,,,,,,,Formerly included in <i>Aquila heliaca</i> (<i>sensu lato</i> ).,CMS,
Species,1951,Raptors,01/01/2008,1,,,,,,,,Raptors,
Species,1954,I,15/07/1997,1,,,,,,,,CMS,
Species,1954,Raptors,01/01/2008,1,,,,,,,,Raptors,
Species,1956,I,15/07/1997,1,,,,,,,,CMS,
Species,1956,Raptors,01/01/2008,1,,,,,,,,Raptors,
Species,2055,II,01/01/1979,1,,,,,,,,CMS,
Subspecies,2080,II,01/01/1994,1,,,,,,,Populations breeding in the Western Palearctic,CMS,
Species,2082,I,23/02/2006,1,,,,,,,,CMS,
Species,2082,II,01/01/1994,1,,,,,,,,CMS,
Species,2082,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,2084,II,01/01/1994,1,,,,,,,,CMS,
Species,2084,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,2416,II,01/01/1979,1,,,,,,,,CMS,
Species,2451,I,05/03/2009,1,,,,,,,,CMS,
Species,2457,I,15/07/1997,1,,,,,,,,CMS,
Species,2457,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,2467,I,01/01/1979,1,,,,,,,,CMS,
Species,2474,ACCOBAMS,01/06/2001,1,,,,,,,,ACCOBAMS,
Species,2475,I,23/12/2002,1,,,,,,,,CMS,
Species,2475,II,23/12/2002,1,,,,,,,,CMS,
Species,2475,ACCOBAMS,01/06/2001,1,,,,,,,,ACCOBAMS,
Species,2476,II,23/12/2002,1,,,,,,,,CMS,
Species,2477,I,01/01/1979,1,,,,,,,,CMS,
Species,2478,II,23/12/2002,1,,,,,,,,CMS,
Species,2478,I,23/12/2002,1,,,,,,,,CMS,
Species,2478,ACCOBAMS,01/06/2001,1,,,,,,,,ACCOBAMS,
Species,2480,II,23/12/2002,1,,,,,,,,CMS,
Species,2553,EUROBATS,16/01/1994,1,,,,,,,,EUROBATS,
Species,2554,EUROBATS,16/01/1994,1,,,,,,,,EUROBATS,
Species,2763,II,12/12/1991,1,,,,,,,,CMS,
Species,2890,I,01/01/1979,1,,,,,,,,CMS,
Species,2892,I,24/01/1986,1,,,,,,,"See <i>Bos mutus</i> for full details of legislation, distribution, etc.

",CMS,
Subspecies,2905,II,01/01/1994,1,,,,,,,Western Palearctic populations.,CMS,
Species,3060,I,15/07/1997,1,,,,,,,,CMS,
Species,3060,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,3336,II,01/01/1979,1,,,,,,,,CMS,
Species,3707,I,23/12/2002,1,,,,,,,,CMS,
Species,3778,II,01/01/1979,1,,,,,,,,CMS,
Species,3855,I,23/12/2002,1,,,,,,,,CMS,
Species,3855,II,23/12/2002,1,,,,,,,,CMS,
Species,4159,II,12/12/1991,1,,,,,,,South American popn,CMS,
Species,4160,II,01/01/1979,1,,,,,,,,CMS,
Species,4161,II,12/12/1991,1,,,,,,,,CMS,
Subspecies,4258,Bukhara Deer,01/01/2002,1,,,,,,,,Bukhara Deer,
Subspecies,4259,I,01/01/1979,1,,,,,,,,CMS,
Subspecies,4264,I,23/02/2006,1,"KZ, KG, TJ, TM, UZ, AF",,,,,,"Populations in Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan and Afghanistan; formerly listed as <i>Cervus elaphus bactrianus</i>.",CMS,
Subspecies,4264,II,01/01/1979,1,"KZ, KG, TJ, TM, UZ, AF",,,,,,"Populations in Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan and Afghanistan; formerly listed as <i>Cervus elaphus bactrianus</i>.",CMS,
Species,4292,I,23/02/2006,1,,,,,,,,CMS,
Species,4292,II,23/02/2006,1,,,,,,,,CMS,
Species,4702,I,01/01/1979,1,,,,,,,Only Northwest African populations.,CMS,
Species,4702,II,01/01/1979,1,,,,,,,Asian populations.,CMS,
Species,4707,II,01/01/1994,1,,,,,,,West Eurasian and African population.,CMS,
Subspecies,4709,II,01/01/1994,1,,,,,,,,CMS,
Species,4712,I,01/01/1979,1,,,,,,,,CMS,
Species,4712,Ruddy-headed goose,01/01/2006,1,,,,,,,,Ruddy-headed goose,
Species,4862,I,01/01/1979,1,,,,,,,,CMS,
Species,4863,II,01/01/1979,1,,,,,,,,CMS,
Species,4863,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,4866,II,01/01/1979,1,,,,,,,,CMS,
Species,4866,AEWA,01/11/1999,1,,,,,,,,AEWA,
Subspecies,4869,II,01/01/1994,1,,,,,,,,CMS,
Species,5290,II,24/01/1986,1,,,,,,,,CMS,
Subspecies,5452,II,01/01/1979,1,,,,,,,,CMS,
Species,5520,II,15/07/1997,1,,,,,,,,CMS,
Species,5520,AEWA,26/12/2002,1,,,,,,,,AEWA,
Species,5668,II,01/11/1983,1,,,,,,,,CMS,
Species,6250,II,01/11/1983,1,,,,,,,,CMS,
Species,6335,II,01/01/1979,1,,,,,,,,CMS,
Species,6335,ASCOBANS,29/03/1994,1,,,,,,,"ASCOBANS covers all species, subspecies or populations of toothed whales in the agreement area except for the sperm whale (<i>Physeter macrocephalus</i>).  

As of 3 February 2008 the ASCOBANS Area has been extended as follows: 

The marine environment of the Baltic and North Seas and contiguous area of the North East Atlantic, as delimited by the shores of the Gulfs of Bothnia and Finland; to the south-east by latitude 36°N, where this line of latitude meets the line joining the lighthouses of Cape St. Vincent (Portugal) and Casablanca (Morocco); to the south-west by latitude 36°N and longitude 15°W; to the north-west by longitude 15° and a line drawn through the following points: latitude 59°N/longitude 15°W, latitude 60°N/longitude 05°W, latitude, 61°N/longitude 4W;latitude 62N/ longitude 3W; to the north by latitude 62°N; and including the Kattegat and the Sound and Belt passages.",ASCOBANS,
Species,6336,I,23/02/2006,1,,,,,,,Only Mediterranean population.,CMS,
Species,6336,II,12/01/1989,1,,,,,,,"North and Baltic Sea populations, Mediterranean population, Black Sea population, eastern tropical Pacific population",CMS,
Species,6336,ACCOBAMS,01/06/2001,1,,,,,,,,ACCOBAMS,
