DscRecID,Full_citation,Authors,Year,Title,Source,Volume,Number,Publisher,PubPlace,Pagination
11500,"Anon. 1997. Oman bird list -Edition 4. Additions & corrections, 8 Dec 1997. Oman Bird Records Committee.",Anon.,1997,"Oman bird list -Edition 4. Additions & corrections, 8 Dec 1997.",,,,Oman Bird Records Committee.,,
1598,"Berkes, F., Anat, H., Kislalioglu, M. and Esenel, M. 1979. Distribution and ecology of _Monachus monachus_ on Turkish coasts. In: Ronald, R. and Duguy, R. (eds) The Mediterranean Monk Seal. Pergamon Press. Oxford.","Berkes, F., Anat, H., Kislalioglu, M. and Esenel, M.",1979,Distribution and ecology of _Monachus monachus_ on Turkish coasts.,"In: Ronald, R. and Duguy, R. (eds) The Mediterranean Monk Seal. ",,,Pergamon Press.,Oxford,
3199,"Brisbin, I. L., Ross, C. A., Downes, M. C., Staton, M. A., and Gammon, B. R. 1986. A bibliography of the American Alligator (_Alligator mississippiensis_). Savanna River National Environmental Research Park. SRO-NERP 13.","Brisbin, I. L., Ross, C. A., Downes, M. C., Staton, M. A., and Gammon, B. R.",1986,A bibliography of the American Alligator (_Alligator mississippiensis_).,,,,Savanna River National Environmental Research Park. SRO-NERP 13.,,
3237,"Cheke, A. S. 1984. Lizards of the Seychelles. In: Stoddart, D. R. (ed). Biogeography and ecology of the Seychelles Islands Dr W. Junk. The Hague.","Cheke, A. S.",1984,Lizards of the Seychelles.,"In: Stoddart, D. R. (ed). Biogeography and ecology of the Seychelles Islands",,,Dr W. Junk.,The Hague,
3239,"Cheong, M. C. 1984. The National Report: Trinidad-Tobago. In: Bacon et al. (eds.) Proceedings of the Western Atlantic Turtle Symposium Volume 3 University of Miami Press.","Cheong, M. C.",1984,The National Report: Trinidad-Tobago.,In: Bacon et al. (eds.) Proceedings of the Western Atlantic Turtle Symposium Volume 3,,,University of Miami Press.,,
3243,"Chu-chien, Huang. 1982. Distribution and population dynamics of the Sea Turtles in China seas. In: Bjorndal, K. (ed.) The biology and conservation of sea turtles. Smithsonian Institute Press. Washington D.C.","Chu-chien, Huang.",1982,Distribution and population dynamics of the Sea Turtles in China seas.,"In: Bjorndal, K. (ed.) The biology and conservation of sea turtles. ",,,Smithsonian Institute Press.,Washington D.C.,
2909,"Corbet, A. S. and Pendlebury, H. M. 1978. The butterflies of the Malay Peninsula. Third edition revised by J. N. Eliot. Malayan Nature Society. Kuala Lumpur.","Corbet, A. S. and Pendlebury, H. M.",1978,The butterflies of the Malay Peninsula. Third edition revised by J. N. Eliot.,,,,Malayan Nature Society.,Kuala Lumpur,
609,"Coulter, M. C. 1990. The conservation status of the Oriental White Stork _Ciconia boyciana_. In Matthews, G. V. T. (ed) Managing waterfowl populations. Proceedings of the IWRB Symposium, Astrakhan 1989. IWRB Special Publication 12, IWRB. Slimbridge, U.K.","Coulter, M. C.",1990,The conservation status of the Oriental White Stork _Ciconia boyciana_.,"In Matthews, G. V. T. (ed) Managing waterfowl populations. Proceedings of the IWRB Symposium, Astrakhan 1989. ",,,"IWRB Special Publication 12, IWRB.","Slimbridge, U.K.",209
611,"Cramp, S. (ed.) 1985. Handbook of the birds of Europe, the Middle East and North Africa: the birds of the Western Palearctic. Volume 4. Oxford University Press. Oxford.","Cramp, S. (ed.)",1985,"Handbook of the birds of Europe, the Middle East and North Africa: the birds of the Western Palearctic. Volume 4.",,,,Oxford University Press.,Oxford,
613,"Cramp, S. and Simmons, K. E. L (eds.) 1977. Handbook of the birds of Europe, the Middle East and North Africa: the birds of the Western Palearctic. Volume 1. Oxford University Press. Oxford.","Cramp, S. and Simmons, K. E. L (eds.)",1977,"Handbook of the birds of Europe, the Middle East and North Africa: the birds of the Western Palearctic. Volume 1.",,,,Oxford University Press.,Oxford,
