SpcRecID,CtyRecID,CtyShort
9582,122,Liechtenstein
9582,55,Czech Republic
9582,239,The former Yugoslav Republic of Macedonia
14552,21,Belgium
3368,238,Zimbabwe
8477,75,French Guiana
15639,63,Egypt
9527,108,Jordan
18635,56,Côte d'Ivoire
18635,90,Guinea
18635,91,Guinea Bissau
18635,120,Liberia
18635,188,Sierra Leone
22820,123,Lithuania
17892,90,Guinea
9012,236,Democratic Republic of the Congo
3897,2,Albania
3897,224,Uruguay
16912,145,Myanmar
16938,136,Mayotte
16944,136,Mayotte
4501,34,Burkina Faso
22915,100,Indonesia
3584,30,Brazil
3585,30,Brazil
11140,129,Maldives
11140,44,China
15421,163,Panama
20731,44,China
20733,44,China
2474,44,China
2476,44,China
22820,67,Estonia
10103,90,Guinea
10103,134,Mauritania
10103,201,Swaziland
12562,99,India
4517,110,Kenya
4516,236,Democratic Republic of the Congo
4515,68,Ethiopia
14310,25,Bhutan
16955,126,Madagascar
16956,126,Madagascar
5355,6,Angola
5356,194,South Africa
5357,194,South Africa
5358,194,South Africa
5359,68,Ethiopia
22916,100,Indonesia
22787,204,Syrian Arab Republic
22789,160,Oman
22789,185,Saudi Arabia
22794,66,Eritrea
22794,193,Somalia
22790,130,Mali
8090,101,Iran (Islamic Republic of)
8089,215,Turkmenistan
3897,3,Algeria
3897,213,Tunisia
21648,27,Bosnia and Herzegovina
21648,52,Croatia
8089,239,The former Yugoslav Republic of Macedonia
22997,27,Bosnia and Herzegovina
22997,52,Croatia
22997,190,Slovakia
22997,191,Slovenia
3744,27,Bosnia and Herzegovina
3744,52,Croatia
3744,239,The former Yugoslav Republic of Macedonia
3744,190,Slovakia
3744,191,Slovenia
3746,27,Bosnia and Herzegovina
3746,52,Croatia
3746,239,The former Yugoslav Republic of Macedonia
22820,27,Bosnia and Herzegovina
22820,52,Croatia
22820,55,Czech Republic
22820,239,The former Yugoslav Republic of Macedonia
22820,190,Slovakia
22820,191,Slovenia
12419,27,Bosnia and Herzegovina
12419,52,Croatia
12419,239,The former Yugoslav Republic of Macedonia
12419,190,Slovakia
8543,27,Bosnia and Herzegovina
8543,52,Croatia
8543,239,The former Yugoslav Republic of Macedonia
8543,55,Czech Republic
8543,190,Slovakia
8543,191,Slovenia
12519,52,Croatia
12519,55,Czech Republic
12519,239,The former Yugoslav Republic of Macedonia
12519,190,Slovakia
12519,191,Slovenia
16013,58,Djibouti
16013,63,Egypt
16013,185,Saudi Arabia
16013,234,Yemen
3897,66,Eritrea
11534,66,Eritrea
6494,66,Eritrea
4430,66,Eritrea
4441,58,Djibouti
4441,66,Eritrea
4471,66,Eritrea
4471,68,Ethiopia
8086,66,Eritrea
19027,66,Eritrea
9232,62,Ecuador
15721,99,India
15722,100,Indonesia
15723,48,Comoros
4765,47,Colombia
8620,86,Grenada
20093,16,Bahamas
23181,100,Indonesia
4518,68,Ethiopia
8798,207,United Republic of Tanzania
11153,23,Benin
12279,23,Benin
14653,23,Benin
20686,23,Benin
4467,222,United States of America
4454,270,South Sudan
6402,64,El Salvador
18636,6,Angola
18636,23,Benin
18636,35,Burundi
18636,37,Cameroon
18636,41,Central African Republic
18636,49,Congo
18636,236,Democratic Republic of the Congo
18636,65,Equatorial Guinea
18636,78,Gabon
18636,82,Ghana
18636,56,Côte d'Ivoire
18636,110,Kenya
18636,130,Mali
18636,155,Nigeria
18636,175,Rwanda
18636,207,United Republic of Tanzania
18636,209,Togo
18636,218,Uganda
7796,100,Indonesia
22868,100,Indonesia
4521,207,United Republic of Tanzania
21552,224,Uruguay
1072,30,Brazil
1072,47,Colombia
1072,166,Peru
1072,62,Ecuador
16457,222,United States of America
29371,30,Brazil
16629,79,Gambia
13109,79,Gambia
29474,30,Brazil
29489,30,Brazil
22997,239,The former Yugoslav Republic of Macedonia
22997,101,Iran (Islamic Republic of)
22997,11,Armenia
22997,174,Russian Federation
22997,109,Kazakhstan
22997,115,Kyrgyzstan
22997,44,China
29583,1,Afghanistan
29583,101,Iran (Islamic Republic of)
29583,109,Kazakhstan
29583,174,Russian Federation
29583,206,Tajikistan
29583,215,Turkmenistan
29583,225,Uzbekistan
29583,160,Oman
29583,161,Pakistan
1077,205,"Taiwan, Province of China"
1077,36,Cambodia
1793,119,Lesotho
12419,5,Andorra
12420,23,Benin
12420,41,Central African Republic
12420,82,Ghana
12420,130,Mali
12420,209,Togo
12427,32,Brunei Darussalam
15569,114,Kuwait
512,143,Morocco
8969,108,Jordan
19832,219,Ukraine
29605,171,Puerto Rico
10274,1,Afghanistan
10274,3,Algeria
10274,11,Armenia
10274,15,Azerbaijan
10274,23,Benin
10274,34,Burkina Faso
10274,37,Cameroon
10274,42,Chad
10274,41,Central African Republic
10274,58,Djibouti
10274,63,Egypt
10274,66,Eritrea
10274,68,Ethiopia
10274,80,Georgia
10274,82,Ghana
10274,90,Guinea
10274,99,India
10274,101,Iran (Islamic Republic of)
10274,104,Israel
10274,108,Jordan
10274,110,Kenya
10274,114,Kuwait
10274,118,Lebanon
10274,121,Libyan Arab Jamahiriya
10274,130,Mali
10274,134,Mauritania
10274,143,Morocco
10274,154,Niger
10274,148,Nepal
10274,155,Nigeria
10274,160,Oman
10274,161,Pakistan
10274,185,Saudi Arabia
10274,186,Senegal
10274,193,Somalia
10274,198,Sudan [prior to secession of South Sudan]
10274,204,Syrian Arab Republic
10274,206,Tajikistan
10274,207,United Republic of Tanzania
10274,213,Tunisia
10274,214,Turkey
10274,215,Turkmenistan
10274,220,United Arab Emirates
10274,225,Uzbekistan
10274,234,Yemen
7750,38,Canada
17297,62,Ecuador
7750,137,Mexico
9218,228,Venezuela (Bolivarian Republic of)
1964,171,Puerto Rico
2006,60,Dominican Republic
22861,127,Malawi
22861,193,Somalia
29672,1,Afghanistan
29672,44,China
29672,101,Iran (Islamic Republic of)
29672,115,Kyrgyzstan
29672,161,Pakistan
29672,215,Turkmenistan
29672,2,Albania
29672,11,Armenia
29672,14,Austria
29672,15,Azerbaijan
29672,20,Belarus
29672,27,Bosnia and Herzegovina
29672,33,Bulgaria
29672,52,Croatia
29672,55,Czech Republic
29672,57,Denmark
29672,73,France
29672,80,Georgia
29672,81,Germany
29672,84,Greece
29672,97,Hungary
29672,105,Italy
29672,109,Kazakhstan
29672,122,Liechtenstein
29672,124,Luxembourg
29672,239,The former Yugoslav Republic of Macedonia
29672,139,Republic of Moldova
29672,149,Netherlands
29672,169,Poland
29672,170,Portugal
29672,173,Romania
29672,174,Russian Federation
29672,190,Slovakia
29672,191,Slovenia
29672,196,Spain
29672,203,Switzerland
29672,214,Turkey
29672,219,Ukraine
29672,141,Mongolia
29672,148,Nepal
29674,2,Albania
29674,14,Austria
29674,15,Azerbaijan
29674,20,Belarus
29674,21,Belgium
29674,27,Bosnia and Herzegovina
29674,33,Bulgaria
29674,52,Croatia
29674,55,Czech Republic
29674,57,Denmark
29674,67,Estonia
29674,72,Finland
29674,73,France
29674,80,Georgia
29674,81,Germany
29674,84,Greece
29674,97,Hungary
29674,103,Ireland
29674,105,Italy
29674,109,Kazakhstan
29674,117,Latvia
29674,122,Liechtenstein
29674,123,Lithuania
29674,124,Luxembourg
29674,239,The former Yugoslav Republic of Macedonia
29674,139,Republic of Moldova
29674,149,Netherlands
29674,159,Norway
29674,169,Poland
29674,170,Portugal
29674,173,Romania
29674,174,Russian Federation
29674,190,Slovakia
29674,191,Slovenia
29674,196,Spain
29674,202,Sweden
29674,203,Switzerland
29674,219,Ukraine
29674,221,United Kingdom of Great Britain and Northern Ireland
29674,44,China
29674,107,Japan
29674,141,Mongolia
29674,152,New Zealand
29674,222,United States of America
29674,38,Canada
29674,99,India
29674,161,Pakistan
29674,1,Afghanistan
29674,115,Kyrgyzstan
29674,225,Uzbekistan
29674,206,Tajikistan
14021,2,Albania
14021,5,Andorra
14021,11,Armenia
14021,14,Austria
14021,20,Belarus
14021,21,Belgium
14021,27,Bosnia and Herzegovina
14021,33,Bulgaria
14021,52,Croatia
14021,55,Czech Republic
14021,57,Denmark
14021,67,Estonia
14021,72,Finland
14021,73,France
14021,80,Georgia
14021,81,Germany
14021,84,Greece
14021,97,Hungary
14021,105,Italy
14021,109,Kazakhstan
14021,117,Latvia
14021,122,Liechtenstein
14021,123,Lithuania
14021,124,Luxembourg
14021,239,The former Yugoslav Republic of Macedonia
14021,131,Malta
14021,139,Republic of Moldova
14021,140,Monaco
14021,149,Netherlands
14021,159,Norway
14021,169,Poland
14021,170,Portugal
14021,173,Romania
14021,190,Slovakia
14021,191,Slovenia
14021,196,Spain
14021,202,Sweden
14021,203,Switzerland
14021,214,Turkey
14021,219,Ukraine
14021,221,United Kingdom of Great Britain and Northern Ireland
14021,174,Russian Federation
14021,107,Japan
14021,44,China
14021,222,United States of America
14021,38,Canada
14021,152,New Zealand
14021,183,San Marino
14021,204,Syrian Arab Republic
14021,118,Lebanon
14021,104,Israel
14021,1,Afghanistan
14021,101,Iran (Islamic Republic of)
14021,141,Mongolia
14021,3,Algeria
14021,143,Morocco
14021,215,Turkmenistan
14021,206,Tajikistan
14021,115,Kyrgyzstan
14021,225,Uzbekistan
14021,15,Azerbaijan
14021,112,Democratic People's Republic of Korea
11476,148,Nepal
19771,73,France
22563,30,Brazil
4004,222,United States of America
4005,222,United States of America
4006,137,Mexico
4006,222,United States of America
3749,38,Canada
3750,38,Canada
3750,222,United States of America
3751,222,United States of America
9953,17,Bahrain
9953,107,Japan
9953,114,Kuwait
9953,185,Saudi Arabia
9953,135,Mauritius
9953,176,Réunion
30137,1,Afghanistan
30137,18,Bangladesh
30137,25,Bhutan
30137,145,Myanmar
30137,36,Cambodia
30137,44,China
30137,99,India
30137,100,Indonesia
30137,128,Malaysia
30137,148,Nepal
30137,161,Pakistan
30137,208,Thailand
30137,229,Viet Nam
30137,53,Cuba
30137,60,Dominican Republic
30137,71,Fiji
30137,222,United States of America
30137,106,Jamaica
30137,107,Japan
30137,171,Puerto Rico
30137,199,Suriname
28263,143,Morocco
28263,121,Libyan Arab Jamahiriya
28263,63,Egypt
28263,134,Mauritania
28263,155,Nigeria
28263,198,Sudan [prior to secession of South Sudan]
28263,42,Chad
28263,154,Niger
28263,3,Algeria
28263,130,Mali
10780,186,Senegal
10780,63,Egypt
10780,68,Ethiopia
10780,194,South Africa
10780,28,Botswana
10780,110,Kenya
10780,127,Malawi
10780,146,Namibia
10780,155,Nigeria
10780,198,Sudan [prior to secession of South Sudan]
10780,207,United Republic of Tanzania
10780,218,Uganda
10780,238,Zimbabwe
13581,38,Canada
13581,137,Mexico
13581,222,United States of America
30166,10,Argentina
30166,26,Bolivia
30166,30,Brazil
30166,47,Colombia
30166,92,Guyana
30166,166,Peru
30166,165,Paraguay
30166,228,Venezuela (Bolivarian Republic of)
30166,199,Suriname
30166,224,Uruguay
2051,25,Bhutan
15565,6,Angola
15565,23,Benin
15565,28,Botswana
15565,34,Burkina Faso
15565,37,Cameroon
15565,41,Central African Republic
15565,42,Chad
15565,49,Congo
